BTH_YR,GENDER,SCTR_CD,LN_CD_1,LN_CD_2,LN_CD_3,LN_DT,LN_AMT,label,RPY_CD,EXP_DT,RATE,RPY_AMT
1972,1,1,31,100,0,201712,44000,1,8,201912,5300,5200
1993,2,12,31,150,0,201804,370,0,0,0,0,1
1993,1,12,31,150,0,201504,1400,0,0,0,0,1
1950,2,5,41,0,0,201403,100,0,0,0,0,1
1985,2,1,31,220,0,201707,240000,1,1,201908,4100,13000
1969,2,5,37,0,0,201812,370,1,4,202012,21400,370
1982,1,5,37,0,0,201801,590,1,5,202001,19300,590
1989,2,1,31,270,0,201606,60000,1,1,202206,1900,1100
1993,1,12,31,150,0,201706,1800,0,0,0,0,1
1977,2,1,31,220,0,201804,310000,1,2,203804,3700,27000
1977,1,5,37,0,0,201712,720,1,4,201812,14700,720
1956,2,3,31,100,0,201408,9900,1,1,201908,7600,1200
1979,1,5,37,0,0,201704,100,1,5,201807,22200,100
1942,2,5,37,0,0,201903,300,1,2,202003,19400,300
2003,2,12,31,150,0,201603,710,0,0,0,0,1
1978,1,17,31,100,0,201804,1800,1,5,201907,18900,230
1979,1,5,37,0,0,201709,100,1,4,201909,15800,100
1981,1,1,31,100,0,202001,9300,1,4,202301,3900,1200
1969,1,3,31,200,0,201807,7400,1,1,201905,2900,1
1987,1,1,31,220,0,201602,66000,1,2,204602,2800,4400
1994,1,12,31,150,0,201402,470,0,0,0,0,1
1986,1,1,31,270,0,201805,240000,1,1,202005,3900,5500
1989,1,21,31,100,0,201809,3500,1,1,202309,23400,1200
1959,2,1,31,100,0,201709,18000,1,1,201909,2500,2200
1972,1,5,37,0,0,201808,3600,1,3,202111,16100,1500
1962,2,5,37,0,0,201805,2900,1,2,202106,15900,1500
1972,2,1,31,220,0,201504,170000,1,4,204503,3200,9700
1993,1,5,31,100,0,201907,580,1,4,202007,15500,100
1974,1,17,31,500,0,201508,12000,1,4,202008,4900,7400
1962,1,3,31,100,0,201505,48000,1,1,202105,5000,7200
1987,2,12,31,150,0,201201,2400,0,0,0,0,1
1994,2,12,31,150,0,201407,1100,0,0,0,0,1
1949,1,5,37,0,0,201902,970,1,4,202102,14900,690
1979,2,12,31,150,0,201103,800,1,5,203103,4900,100
1996,1,12,31,150,0,201112,4600,0,0,0,0,1
1994,1,1,31,100,0,201705,62000,1,1,201905,2300,6600
1939,2,3,31,100,0,201802,7800,1,1,201902,1300,790
1975,2,1,31,100,0,200709,5500,1,8,202009,13000,1300
1973,1,15,31,210,0,201911,500,1,1,202004,7500,100
1979,2,5,37,0,0,201706,100,1,4,201901,23000,100
1952,1,21,31,100,0,201907,9600,1,4,202407,22300,3000
1967,2,5,37,0,0,201901,1100,1,3,202005,15900,1100
1950,1,5,37,0,0,201807,1400,1,4,201907,22100,1400
1979,2,1,31,100,0,201811,27000,1,4,202311,4200,3700
1954,1,1,31,220,0,201511,18000,1,4,202511,3000,2800
1979,2,12,31,150,0,201609,800,1,5,203109,2500,100
1961,2,5,37,0,0,202001,5300,1,4,202202,11700,3400
1978,2,12,31,210,0,201607,16000,1,10,201907,1000,2000
1988,1,12,31,150,0,201301,540,0,0,0,0,1
1982,2,5,37,0,0,201511,100,0,0,0,0,1
1989,1,1,31,220,0,201602,59000,1,2,202602,2600,10000
1968,1,12,31,245,900,201510,21000,1,9,203003,2900,2500
1966,2,1,31,220,0,201503,77000,1,4,203503,2600,5700
1990,2,12,31,150,0,201701,2700,1,5,203101,2500,100
1976,1,1,31,220,0,201211,74000,1,4,204211,3400,4600
1976,2,5,37,0,0,201810,910,1,4,201904,16100,910
1957,1,3,31,230,0,201610,48000,1,1,202110,3300,6400
1971,1,1,31,100,0,201708,22000,1,8,201908,3700,2500
1994,2,12,31,150,0,201312,1400,0,0,0,0,1
1962,2,5,37,0,0,201908,720,1,2,202009,12900,720
1987,2,12,31,150,0,201012,900,0,0,0,0,1
1993,2,12,31,150,0,201304,1400,0,0,0,0,1
1973,1,15,31,210,0,202005,29000,1,1,202011,6000,4300
1981,2,5,31,500,0,201510,8700,1,4,202009,4700,8700
1985,2,12,31,150,0,201009,4000,0,0,0,0,1
2002,1,12,31,150,0,201803,2000,1,3,202303,2200,680
1956,2,1,31,100,0,201512,4000,1,8,201912,4900,530
1980,1,21,31,100,0,201301,2900,0,0,0,0,1
1977,1,5,37,0,0,201704,800,1,4,201811,19600,800
1988,1,5,37,0,0,201908,1000,1,4,202008,10100,1000
1949,1,5,37,0,0,201901,3900,1,5,202107,9900,2700
1976,2,5,37,0,0,201811,2600,1,4,202011,16100,1600
1949,1,5,37,0,0,201904,140,1,4,202104,16900,140
1979,1,1,31,100,0,201710,45000,1,1,201910,5900,5400
1988,2,5,41,0,0,201812,660,1,1,0,13200,660
1980,1,1,31,220,0,201404,86000,1,5,203404,2800,6700
1953,1,1,31,100,0,200109,24000,1,8,201909,5400,2900
1978,1,1,31,220,0,201807,94000,1,2,204807,2500,5500
1970,2,12,31,245,900,202002,87000,1,9,204911,2200,4000
1968,1,3,31,240,0,201809,9000,1,8,201909,5100,1100
1987,2,12,31,150,0,201207,900,0,0,0,0,1
1942,2,5,37,0,0,201807,600,1,2,201907,20700,600
1943,2,1,31,100,0,200107,6400,1,8,202007,4100,820
2000,1,12,31,150,0,201501,1700,0,0,0,0,1
1988,1,1,31,240,0,201712,450,1,8,201912,8400,100
1975,2,1,31,220,0,201905,230000,1,2,203405,2600,22000
1959,1,1,31,220,0,201701,70000,1,4,205001,3900,3900
1994,2,12,31,150,0,201306,100,0,0,0,0,1
